fight_id,fighter_name,height_disp,age_disp,knockdowns_disp,sig_strikes_landed_disp,total_strikes_attempted_disp,takedowns_landed_disp,takedowns_attempted_disp,sub_attemps_disp,control_time_disp,body_strikes_landed_disp,leg_strikes_landed_disp,outcome
1,Francis Marshall,0.0,-1.3999999999999986,1.0,-7.0,22.0,1.0,3.0,0.0,4.95,-6.0,-4.0,1.0
1,Dennis Buzukja,-0.0,1.3999999999999986,-1.0,7.0,-22.0,-1.0,-3.0,0.0,-4.95,6.0,4.0,0.0
2,Zachary Reese,4.0,-2.8999999999999986,0.0,38.0,52.0,0.0,1.0,1.0,0.9299999999999999,15.0,3.0,1.0
2,Jose Daniel Medina,-4.0,2.8999999999999986,0.0,-38.0,-52.0,0.0,-1.0,-1.0,-0.9299999999999999,-15.0,-3.0,0.0
3,Viacheslav Borshchev,-1.0,7.5,0.0,12.0,7.0,0.0,0.0,0.0,0.0,8.0,-3.0,1.0
3,James Llontop,1.0,-7.5,0.0,-12.0,-7.0,0.0,0.0,0.0,0.0,-8.0,3.0,0.0
4,Dan Hooker,2.0,0.7999999999999972,0.0,0.0,0.0,-4.0,-8.0,0.0,-3.13,11.0,-2.0,1.0
4,Mateusz Gamrot,-2.0,-0.7999999999999972,0.0,0.0,0.0,4.0,8.0,0.0,3.13,-11.0,2.0,0.0
5,Jairzinho Rozenstruik,0.0,5.0,0.0,33.0,42.0,0.0,0.0,0.0,-0.02,5.0,5.0,1.0
5,Tai Tuivasa,-0.0,-5.0,0.0,-33.0,-42.0,0.0,0.0,0.0,0.02,-5.0,-5.0,0.0
6,Ricardo Ramos,-1.0,-1.1999999999999993,-1.0,-32.0,-24.0,0.0,0.0,1.0,1.1800000000000004,-1.0,-15.0,1.0
6,Josh Culibao,1.0,1.1999999999999993,1.0,32.0,24.0,0.0,0.0,-1.0,-1.1800000000000004,1.0,15.0,0.0
7,Jack Jenkins,-2.0,-5.699999999999999,1.0,38.0,32.0,-2.0,-8.0,0.0,0.40000000000000013,8.0,8.0,1.0
7,Herbert Burns,2.0,5.699999999999999,-1.0,-38.0,-32.0,2.0,8.0,0.0,-0.40000000000000013,-8.0,-8.0,0.0
8,Tom Nolan,4.0,-13.5,0.0,5.0,32.0,-2.0,-4.0,0.0,-2.41,6.0,-8.0,1.0
8,Alex Reyes,-4.0,13.5,0.0,-5.0,-32.0,2.0,4.0,0.0,2.41,-6.0,8.0,0.0
9,Song Kenan,0.0,-0.8999999999999986,0.0,33.0,52.0,-2.0,-8.0,0.0,-2.65,2.0,-6.0,1.0
9,Ricky Glenn,-0.0,0.8999999999999986,0.0,-33.0,-52.0,2.0,8.0,0.0,2.65,-2.0,6.0,0.0
10,Chepe Mariscal,-4.0,-4.199999999999999,0.0,28.0,127.0,4.0,1.0,0.0,2.6799999999999997,-11.0,0.0,1.0
10,Damon Jackson,4.0,4.199999999999999,0.0,-28.0,-127.0,-4.0,-1.0,0.0,-2.6799999999999997,11.0,0.0,0.0
11,Danny Barlow,1.0,-5.600000000000001,0.0,7.0,13.0,0.0,0.0,0.0,0.88,-7.0,7.0,1.0
11,Nikolay Veretennikov,-1.0,5.600000000000001,0.0,-7.0,-13.0,0.0,0.0,0.0,-0.88,7.0,-7.0,0.0
12,Chris Gutierrez,3.0,0.5,0.0,19.0,-13.0,-2.0,-8.0,0.0,-3.9299999999999997,-3.0,18.0,1.0
12,Quang Le,-3.0,-0.5,0.0,-19.0,13.0,2.0,8.0,0.0,3.9299999999999997,3.0,-18.0,0.0
13,Jhonata Diniz,1.0,-1.5,0.0,33.0,28.0,0.0,-2.0,0.0,-0.05,1.0,20.0,1.0
13,Karl Williams,-1.0,1.5,0.0,-33.0,-28.0,0.0,2.0,0.0,0.05,-1.0,-20.0,0.0
14,Shara Magomedov,2.0,0.8000000000000007,0.0,16.0,31.0,-1.0,-4.0,0.0,-0.86,10.0,1.0,1.0
14,Michal Oleksiejczuk,-2.0,-0.8000000000000007,0.0,-16.0,-31.0,1.0,4.0,0.0,0.86,-10.0,-1.0,0.0
15,Deiveson Figueiredo,-3.0,4.900000000000002,0.0,-2.0,-24.0,2.0,9.0,0.0,2.25,1.0,-7.0,1.0
15,Marlon Vera,3.0,-4.900000000000002,0.0,2.0,24.0,-2.0,-9.0,0.0,-2.25,-1.0,7.0,0.0
16,Joel Alvarez,5.0,4.599999999999998,0.0,23.0,28.0,0.0,-4.0,1.0,0.44,14.0,-13.0,1.0
16,Elves Brener,-5.0,-4.599999999999998,0.0,-23.0,-28.0,0.0,4.0,-1.0,-0.44,-14.0,13.0,0.0
17,Shamil Gaziev,-2.0,2.0,0.0,7.0,12.0,1.0,0.0,0.0,8.0,5.0,-2.0,1.0
17,Don'Tale Mayes,2.0,-2.0,0.0,-7.0,-12.0,-1.0,0.0,0.0,-8.0,-5.0,2.0,0.0
18,Guram Kutateladze,1.0,4.200000000000003,-1.0,-10.0,-44.0,1.0,2.0,0.0,-1.92,2.0,3.0,1.0
18,Jordan Vucenic,-1.0,-4.200000000000003,1.0,10.0,44.0,-1.0,-2.0,0.0,1.92,-2.0,-3.0,0.0
19,Jai Herbert,2.0,8.600000000000001,1.0,-6.0,-43.0,0.0,-1.0,0.0,-0.33,9.0,-22.0,1.0
19,Rolando Bedoya,-2.0,-8.600000000000001,-1.0,6.0,43.0,0.0,1.0,0.0,0.33,-9.0,22.0,0.0
20,Sedriques Dumas,1.0,-7.200000000000003,0.0,19.0,-91.0,2.0,5.0,0.0,5.53,-3.0,10.0,1.0
20,Denis Tiuliulin,-1.0,7.200000000000003,0.0,-19.0,91.0,-2.0,-5.0,0.0,-5.53,3.0,-10.0,0.0
21,Gregory Rodrigues,1.0,3.3999999999999986,0.0,16.0,43.0,2.0,8.0,0.0,3.25,3.0,-6.0,1.0
21,Christian Leroy Duncan,-1.0,-3.3999999999999986,0.0,-16.0,-43.0,-2.0,-8.0,0.0,-3.25,-3.0,6.0,0.0
22,Arnold Allen,-4.0,-5.399999999999999,0.0,2.0,-9.0,0.0,1.0,0.0,0.0,2.0,-2.0,1.0
22,Giga Chikadze,4.0,5.399999999999999,0.0,-2.0,9.0,0.0,-1.0,0.0,0.0,-2.0,2.0,0.0
23,Nathaniel Wood,-1.0,-7.800000000000001,1.0,32.0,12.0,0.0,-5.0,0.0,1.67,9.0,8.0,1.0
23,Daniel Pineda,1.0,7.800000000000001,-1.0,-32.0,-12.0,0.0,5.0,0.0,-1.67,-9.0,-8.0,0.0
24,Jake Hadley,1.0,-0.1999999999999993,0.0,10.0,-4.0,-1.0,-4.0,0.0,-1.21,-2.0,16.0,1.0
24,Caolan Loughran,-1.0,0.1999999999999993,0.0,-10.0,4.0,1.0,4.0,0.0,1.21,2.0,-16.0,0.0
25,Muhammad Mokaev,2.0,-6.699999999999999,0.0,3.0,25.0,1.0,4.0,0.0,0.13,7.0,5.0,1.0
25,Manel Kape,-2.0,6.699999999999999,0.0,-3.0,-25.0,-1.0,-4.0,0.0,-0.13,-7.0,-5.0,0.0
26,Oban Elliott,1.0,-2.3999999999999986,0.0,-6.0,8.0,1.0,-4.0,0.0,3.16,0.0,-11.0,1.0
26,Preston Parsons,-1.0,2.3999999999999986,0.0,6.0,-8.0,-1.0,4.0,0.0,-3.16,0.0,11.0,0.0
27,Modestas Bukauskas,0.0,-5.5,0.0,-24.0,-94.0,1.0,1.0,0.0,2.58,-23.0,-17.0,1.0
27,Marcin Prachnio,-0.0,5.5,0.0,24.0,94.0,-1.0,-1.0,0.0,-2.58,23.0,17.0,0.0
28,Kurt Holobaugh,-1.0,4.600000000000001,0.0,7.0,65.0,0.0,3.0,-2.0,2.59,-6.0,7.0,1.0
28,Kaynan Kruschewsky,1.0,-4.600000000000001,0.0,-7.0,-65.0,0.0,-3.0,2.0,-2.59,6.0,-7.0,0.0
29,Trey Ogden,0.0,0.9000000000000057,0.0,-1.0,44.0,3.0,4.0,2.0,6.61,4.0,2.0,1.0
29,Loik Radzhabov,-0.0,-0.9000000000000057,0.0,1.0,-44.0,-3.0,-4.0,-2.0,-6.61,-4.0,-2.0,0.0
30,Thomas Petersen,-1.0,-5.9999999999999964,0.0,8.0,-15.0,1.0,2.0,0.0,0.65,-2.0,4.0,1.0
30,Mohammed Usman,1.0,5.9999999999999964,0.0,-8.0,15.0,-1.0,-2.0,0.0,-0.65,2.0,-4.0,0.0
31,Muslim Salikhov,-1.0,2.3000000000000043,0.0,1.0,-1.0,-1.0,4.0,0.0,-0.47,8.0,1.0,1.0
31,Santiago Ponzinibbio,1.0,-2.3000000000000043,0.0,-1.0,1.0,1.0,-4.0,0.0,0.47,-8.0,-1.0,0.0
32,Jean Silva,-1.0,-8.200000000000003,0.0,-3.0,-32.0,0.0,-2.0,0.0,-0.22,-5.0,-7.0,1.0
32,Drew Dober,1.0,8.200000000000003,0.0,3.0,32.0,0.0,2.0,0.0,0.22,5.0,7.0,0.0
33,Gabriel Bonfim,3.0,-4.400000000000002,0.0,22.0,24.0,-3.0,-9.0,0.0,-2.16,21.0,-2.0,1.0
33,Ange Loosa,-3.0,4.400000000000002,0.0,-22.0,-24.0,3.0,9.0,0.0,2.16,-21.0,2.0,0.0
34,Charles Johnson,4.0,10.7,0.0,14.0,48.0,-1.0,1.0,0.0,0.28,7.0,13.0,1.0
